id_mostra,nome_mostra,id_instituicao,instituicao,cidade,pais,intervalo,ano_inicio
1,New Forms - New Media 1,51,Martha Jackson Gallery,Nova York,EUA,1960,1960
2,Fourth Annual Exhibition of Painting and Sculpture,68,Stable Gallery,Nova York,EUA,1955,1955
3,Artists of the New York School  - Second Generation,75,The Jewish Museum,Nova York,EUA,1957,1957
4,"New Work  - Bluhm, Budd, Dzubas, Johns, Leslie, Louis, Marisol, Ortman, Rauschenberg, Savelli",49,Leo Castelli,Nova York,EUA,1957,1957
5,Collage International  - From Picasso to the Present,7,Contemporary Arts Museum – CAMH,Houston,EUA,1958,1958
6,"Group Exhibition  - Bluhm, Brach, Dzubas, Johns, Marisol, Rauschenberg, Schueler",49,Leo Castelli,Nova York,EUA,1958,1958
7,"Group Exhibition  - Brach, Dzubas, Johns, Sander, Twombly",49,Leo Castelli,Nova York,EUA,1959,1959
8,Internationale Ausstellung Graphik der Gegenwart,39,Internationale Ausstellung Graphik der Gegenwart,Wiesbaden,Alemanha,1959,1959
9,Work in Three Dimensions,49,Leo Castelli,Nova York,EUA,1959,1959
10,Opening Exhibition of the New Gallery,49,Leo Castelli,Nova York,EUA,1959,1959
11,Out of the Ordinary,7,Contemporary Arts Museum – CAMH,Houston,EUA,1959,1959
12,Exposition InteRnatiOnale du Surréalisme EROS,16,Galerie Daniel Cordier,Paris,França,1959-1960,1959
13,1959 Annual Exhibition  - Contemporary American Painting,79,Whitney Museum of American Art,Nova York,EUA,1959-1960,1959
14,School of New York  - Some Younger Artists,68,Stable Gallery,Nova York,EUA,1959-1960,1959
15,Sixteen Americans,57,Museum of Modern Art – MoMA,Nova York,EUA,1959-1960,1959
16,Summary 1959–1960,49,Leo Castelli,Nova York,EUA,1960,1960
17,"Jasper Johns, Kurt Schwitters",11,Ferus Gallery,Los Angeles,EUA,1960,1960
18,The Mysterious Sign,37,ICA - Institute of Contemporary Arts,Londres,Reino Unido,1960,1960
19,Surrealist Intrusion in the Enchanters' Domain,8,D'Arcy Galleries,Nova York,EUA,1960-1961,1960
20,Vision in Motion / Motion in vision  - ZERO,12,G58 Hessenhuis,Antwerp,Bélgica,1959,1959
21,Group Show,11,Ferus Gallery,Los Angeles,EUA,1960,1960
22,Anceschi - Boriani - Castellani - Colombo - Devecchi - Manzoni - Mari - Massironi - Pisani – Zilocchi,26,Galleria Azimut,Milão,Itália,1959-1960,1959
23,Miriorama 1,31,Galleria Pater,Milão,Itália,1960,1960
24,Miriorama 8,27,Galleria Bruno Danese,Milão,Itália,1960,1960
25,Below Zero,62,Reuben Gallery,Nova York,EUA,1959-1960,1959
26,Paintings,62,Reuben Gallery,Nova York,EUA,1960,1960
27,"An Evening of Sound, Theatre, Happenings",62,Reuben Gallery,Nova York,EUA,1960,1960
28,Varieties - Happenings at the Reuben Gallery,62,Reuben Gallery,Nova York,EUA,1960,1960
29,Recent Sculpture U.S.A.,57,Museum of Modern Art – MoMA,Nova York,EUA,1959,1959
30,"Gallery Group Show  - Paintings, Sculpture and Drawings",34,Green Gallery,Nova York,EUA,1960-1961,1960
31,Arte Nucleare 1957,32,Galleria San Fedele,Milão,Itália,1957,1957
32,Guido Biasi - Agostino Bonalumi - Enrico Castellani - Piero Manzoni - Ralph Rumney - Douglas Swan,31,Galleria Pater,Milão,Itália,1958,1958
33,Bonalumi - Castellani - Manzoni ,29,Galleria del Prisma,Milão,Itália,1959,1959
34,Bonalumi - Castellani – Manzoni,25,Galleria Appia Antica,Roma,Itália,1959,1959
35,Dynamo 1,22,Galerie Renate Boukes,Wiesbaden,Alemanha,1959,1959
36,Bonalumi - Castellani – Manzoni,20,Galerie Kasper,Lausanne,Suíça,1959,1959
37,"0 / Zero  - Disegni, litografie, serigrafie, collages",25,Galleria Appia Antica,Roma,Itália,1959,1959
38,Anceschi - Boriani - Castellani - Colombo - Devecchi - Manzoni - Mari - Massironi - Pisani - Zilocchi ,26,Galleria Azimut,Milão,Itália,1959-1960,1959
39,Internationale Avant-garde 1960 ,18,Galerie des Kleintheater,Berna,Suíça,1960,1960
40,La nuova concezione artistica ,26,Galleria Azimut,Milão,Itália,1960,1960
41,Neue Malerei ,18,Galerie des Kleintheater,Berna,Suíça,1960,1960
42,Castellani - Manzoni  - A New Artistic Conception,58,New Vision Centre Gallery,Londres,Reino Unido,1960,1960
43,"Opere di  - Biasi, Breier, Bonalumi, Castellani, Ganci, Landi, Mack, Maino, Manzoni, Massironi, Mavignier, Moldow, Pisani, Santini",26,Galleria Azimut,Milão,Itália,1960,1960
44,Red Grooms - Allan Kaprow - Robert Whitman  - Happenings at 4 evenings,62,Reuben Gallery,Nova York,EUA,1960,1960
