"Data da coleta","Período","Corpus","Smoothing","Capitulação","Expressão","Ano","Zeros","Ngram"
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1870,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1871,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1872,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1873,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1874,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1875,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1876,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1877,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1878,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1879,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1880,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1881,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1882,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1883,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1884,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1885,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1886,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1887,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1888,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1889,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1890,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1891,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1892,8,246
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1893,8,492
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1894,8,492
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1895,8,726
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1896,8,481
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1897,8,481
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1898,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1899,8,236
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1900,7,1218
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1901,7,1218
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1902,8,982
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1903,11,0
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1904,8,230
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1905,8,230
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1906,8,230
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1907,8,223
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1908,8,951
11/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1909,7,1185
12/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1910,6,11418
12/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1911,6,63452
12/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1912,6,90503
12/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1913,6,98434
12/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1914,6,52306
12/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1915,6,37889
12/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1916,6,30218
12/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1917,6,47794
12/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1918,6,71648
12/2/2025,"1870-1925","French",1,"Case-Insensitive","Cubisme",1919,5,134584
