"ID","Obra","Início","Término","Suporte","Categoria","Réplica?","Fonte","Instituição","País_Instituição","Nº _de_artistas","ID_artista_1","NomeArtista1","PaísNascimentoArtista1","PaísMorteArtista1","ID_artista_2","NomedoArtista2","PaísNascimentoArtista2","PaísMorteArtista2"
1,"Enduring Ornament",1913,1913,"Rusted iron ring","Sculpture","N","https://www.arthistoryproject.com/artists/elsa-von-freytag-loringhoven/enduring-ornament/","NA","NA",1,7,"Baronesa Elsa Hildegard von Freytag-Loringhoven","Alemanha","França",,,,
2,"Bicycle Wheel",1913,1913,"Metal wheel mounted on painted wood stool","Painting and Sculpture","S","https://www.moma.org/collection/works/81631","MoMA","EUA",1,129,"Marcel Duchamp","França","França",,,,
3,"Bottle Rack",1914,1914,"Galvanized iron","NA","S","https://www.artic.edu/artworks/238749/bottle-rack-porte-bouteilles","Art Institute of Chicago","EUA",1,129,"Marcel Duchamp","França","França",,,,
4,"In Advance of the Broken Arm",1915,1915,"Wood and galvanized-iron snow shovel","Painting and Sculpture","S","https://www.moma.org/collection/works/105050","MoMA","EUA",1,129,"Marcel Duchamp","França","França",,,,
5,"Hat Rack",1916,1916,"Wood","NA","S","https://www.artic.edu/artworks/73661/hat-rack","Art Institute of Chicago","EUA",1,129,"Marcel Duchamp","França","França",,,,
6,"... Pliant ... de voyage (Traveler's Folding Item)",1916,1916,"Toile plastifiée, métal","Oeuvre en 3 dimensions, Ready-made","S","https://www.centrepompidou.fr/en/ressources/oeuvre/cg9Kqa","Centre Pompidou","França",1,129,"Marcel Duchamp","França","França",,,,
7,"À bruit secret (With Hidden Noise)",1916,1916,"Ficelle, laiton, vis","Oeuvre en 3 dimensions, Ready-made","S","https://www.centrepompidou.fr/en/ressources/oeuvre/cML6go","Centre Pompidou","França",1,129,"Marcel Duchamp","França","França",,,,
8,"Comb",1916,1916,"Steel","Sculpture","N","https://www.philamuseum.org/collection/object/51552","Philadelphia Art Museum","EUA",1,129,"Marcel Duchamp","França","França",,,,
9,"God",1917,1917,"Wood miter box; cast iron plumbing trap","Sculpture","N","https://www.philamuseum.org/collection/object/51106","Philadelphia Art Museum","EUA",2,7,"Baronesa Elsa Hildegard von Freytag-Loringhoven","Alemanha","França",8,"Morton Schamberg ","EUA","EUA"
10,"New York",1917,1917,"Nickel plated and painted bronze","Sculpture","S","https://whitney.org/collection/works/10979","Whitney Museum of American Art","EUA",1,6,"Man Ray","EUA","França",,,,
11,"Trébuchet (Trap)",1917,1917,"Bois, métal","Oeuvre en 3 dimensions, Ready-made","S","https://www.centrepompidou.fr/en/ressources/oeuvre/cj7ybrB","Centre Pompidou","França",1,129,"Marcel Duchamp","França","França",,,,
12,"Fountain",1917,1917,"Porcelain urinal","Sculpture","S","https://www.philamuseum.org/collection/object/92488","Philadelphia Art Museum","EUA",1,129,"Marcel Duchamp","França","França",,,,
13,"Assemblaggio cubo - futurista",1917,1917,"legno e corda","scultura","N","https://www.mart.tn.it/en/works/assemblaggio-cubo-futurista-131327","MART","Itália",1,113,"Roberto Iras Baldessari","Itália","Itália",,,,
14,"Cathedral",1918,1918,"NA","NA","N","https://www.wikiart.org/pt/elsa-von-freytag-loringhoven/cathedral-1918","NA","NA",1,7,"Baronesa Elsa Hildegard von Freytag-Loringhoven","Alemanha","França",,,,
15,"Readymade malheureux",1919,1919,"NA","NA","N","https://images.grandpalaisrmn.fr/ark:/36255/15-596303","NA","NA",1,129,"Marcel Duchamp","França","França",,,,
16,"L.H.O.O.Q. or La Joconde",1919,1919,"Colored reproduction, heightened with pencil and white gouache","NA","S","https://www.nortonsimon.org/art/detail/P.1969.094","Norton Simon Museum","EUA",1,129,"Marcel Duchamp","França","França",,,,
17,"50 cc of Paris Air",1919,1919,"Glass ampoule","Sculpture","S","https://www.philamuseum.org/collection/object/51628","Philadelphia Art Museum","EUA",1,129,"Marcel Duchamp","França","França",,,,
18,"Tzanck Check",1919,1919,"Ink on paper","Arts/Prints & Drawings","N","https://www.imj.org.il/en/collections/219509-0#:~:text=Tzanck%20Check%20%7C%20The%20Israel%20Museum%2C%20Jerusalem","The Israel Museum","Israel",1,129,"Marcel Duchamp","França","França",,,,
19,"Portrait of Marcel Duchamp",1920,1922,"Broken wine glasses, assorted feathers, tree twigs, and other unidentifiable objects","ASSEMBLAGE","N","https://en.wikipedia.org/wiki/Portrait_of_Marcel_Duchamp","NA","NA",1,7,"Baronesa Elsa Hildegard von Freytag-Loringhoven","Alemanha","França",,,,
20,"Affinités",1920,1920,"tecnica mista su legno sagomato","scultura","N","https://www.mart.tn.it/en/works/affinites-122783","MART","Itália",1,114,"Christian Schad","Alemanha","Alemanha",,,,
21,"Five-String Banjo",1920,1950,"	Mixed mediums on banjo","Sculpture","N","https://philamuseum.org/collection/object/288789","Philadelphia Art Museum","EUA",1,108,"Felipe Jesús Consalvos","Cuba","EUA",,,,
